Generator,Utility,UtilityStd,Fidelity,FidelityStd,Privacy,PrivacyStd,N_Points,N_Datasets,N_Seeds,UtilityMetric,FidelityMetric,PrivacyMetric,PrivacyLabel,HigherIsPrivate,PrivacyKey
TVAE,0.7660683663168162,0.16984642268032646,0.9054895000000001,0.009304084685884173,1.434154,1.387105290387143,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
GaussianCopula,0.714911351946976,0.14648551347218491,0.9267905000000001,0.017398027905484025,1.4277885,1.328793297757207,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
WGAN_GP,0.7982969624123475,0.14022586885489755,0.774733,0.17880648122304846,10.7324375,8.617366082493886,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
CTABGAN,0.7145440296263501,0.16526540325002098,0.8866675,0.03601645706077331,7.5219425,2.8989926329007623,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
TabDDPM,0.476624727324683,0.06401819281000207,0.42709450000000004,0.02638046837798953,22.158574,4.507686162825377,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
ForestDiffusion,0.8552360902936895,0.11312260801952516,0.7609294999999999,0.19181229580325596,7.545941999999999,5.819487720104526,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True,NNDR
CTGAN,0.6304744206698778,0.06782040199665998,0.822001,0.05839868780068696,0.7945595,0.21077750564155012,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
CopulaGAN,0.5435943071275032,0.14676643953054164,0.8073505000000001,0.08770422046047124,0.8008974999999999,0.20427485484603444,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
TVAE,0.7747892406710729,0.13511913527562144,0.9054895000000001,0.009304084685884173,0.6960095,0.3102368730710371,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
GaussianCopula,0.7106990555560438,0.08658169583496718,0.9267905000000001,0.017398027905484025,0.692837,0.10236083420918371,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
WGAN_GP,0.8047484523210976,0.10308280838537431,0.774733,0.17880648122304846,0.5481235,0.00881469301193959,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
CTABGAN,0.7502522475096045,0.08937145278024693,0.8866675,0.03601645706077331,0.5587489999999999,0.06703947748194818,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
TabDDPM,0.37346922731223087,0.11562681922938416,0.42709450000000004,0.02638046837798953,0.416453,0.10969452746988843,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
ForestDiffusion,0.8434857778355809,0.0973879352596208,0.7609294999999999,0.19181229580325596,0.5272145,0.020154831737536814,20,2,10,F1,Quality_Score,MIA_AUC,MIA AUC,False,MIA
CTGAN,0.6304744206698778,0.06782040199665998,0.822001,0.05839868780068696,3.2118510000000002,3.1317506987573847,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
CopulaGAN,0.5435943071275032,0.14676643953054164,0.8073505000000001,0.08770422046047124,4.461466,4.404647156925465,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
TVAE,0.7747892406710729,0.13511913527562144,0.9054895000000001,0.009304084685884173,1.434154,1.387105290387143,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
GaussianCopula,0.7106990555560438,0.08658169583496718,0.9267905000000001,0.017398027905484025,1.4277885,1.328793297757207,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
WGAN_GP,0.8047484523210976,0.10308280838537431,0.774733,0.17880648122304846,10.7324375,8.617366082493886,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
CTABGAN,0.7502522475096045,0.08937145278024693,0.8866675,0.03601645706077331,7.5219425,2.8989926329007623,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
TabDDPM,0.37346922731223087,0.11562681922938416,0.42709450000000004,0.02638046837798953,22.158574,4.507686162825377,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
ForestDiffusion,0.8434857778355809,0.0973879352596208,0.7609294999999999,0.19181229580325596,7.545941999999999,5.819487720104526,20,2,10,F1,Quality_Score,NNDR,NNDR,True,NNDR
