dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,Quality_Score,
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,KS_Complement,0.7087820512820514
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,Wasserstein_Distance,23.614010534310435
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Fidelity,MMD,0.1971944192537396
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_TRTR,0.958187134502924
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_TSTR,0.4812865497076023
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Accuracy_Gap,0.4769005847953216
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_TRTR,0.9579899186677384
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_TSTR,0.4537007049028936
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,F1_Gap,0.5042892137648449
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_TRTR,0.9585588829451
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_TSTR,0.4445833998769507
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Precision_Gap,0.5139754830681492
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_TRTR,0.958187134502924
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_TSTR,0.4812865497076023
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Utility,Recall_Gap,0.4769005847953216
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Mahalanobis_Distance,114.5245502877272
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Mean_Distance,114.5245502877272
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,Median_Distance,102.09025171792766
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,NNDR,0.981481546157858
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Privacy,MIA_AUC,0.991111111111111
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,training_time_seconds,76.60656310198829
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,generation_time_seconds,0.0
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,evaluation_time_seconds,5.222942436113954
Cancer,cancer,CTGAN,123,42,1000,455,114,classification,76.60656310198829,0.0,5.222942436113954,81.83954001800157,Compute,total_time_seconds,81.83954001800157
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,Quality_Score,
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,KS_Complement,0.7218120879120877
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,Wasserstein_Distance,20.70595432454513
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Fidelity,MMD,0.2153142910933406
Cancer,cancer,CTGAN,2024,42,1000,455,114,classification,71.86530623910949,0.0,5.178388346219435,77.06332916091196,Utility,Accuracy_TRTR,0.958187134502924
