,ForestDiffusion,WGAN-GP,TVAE,GaussianCopula,TabDDPM,CopulaGAN,CTGAN,CTABGAN
ForestDiffusion,1.0,0.719644,0.560856,0.400939,0.119256,0.063764,0.014616,0.000969
WGAN-GP,0.719644,1.0,0.999998,0.999773,0.96473,0.900554,0.642096,0.206151
TVAE,0.560856,0.999998,1.0,0.999998,0.991762,0.96473,0.790194,0.328126
GaussianCopula,0.400939,0.999773,0.999998,1.0,0.999012,0.991762,0.900554,0.479397
TabDDPM,0.119256,0.96473,0.991762,0.999012,1.0,0.999998,0.996822,0.851061
CopulaGAN,0.063764,0.900554,0.96473,0.991762,0.999998,1.0,0.999773,0.9382
CTGAN,0.014616,0.642096,0.790194,0.900554,0.996822,0.999773,1.0,0.996822
CTABGAN,0.000969,0.206151,0.328126,0.479397,0.851061,0.9382,0.996822,1.0
