dataset,dataset_id,generator,seed,split_seed,n_synthetic_samples,n_train,n_test,task,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,metric_category,metric_name,metric_value
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Fidelity,Quality_Score,0.6592414056312632
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Fidelity,KS_Complement,0.6716725274725273
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Fidelity,Wasserstein_Distance,36.75500236204747
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Fidelity,MMD,0.2578231857459137
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Accuracy_TRTR,0.958187134502924
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Accuracy_TSTR,0.6230994152046783
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Accuracy_Gap,0.3350877192982456
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,F1_TRTR,0.9579899186677384
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,F1_TSTR,0.6057686130410401
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,F1_Gap,0.3522213056266984
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Precision_TRTR,0.9585588829451
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Precision_TSTR,0.6880783768080578
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Precision_Gap,0.2704805061370421
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Recall_TRTR,0.958187134502924
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Recall_TSTR,0.6230994152046783
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,Recall_Gap,0.3350877192982456
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,ROC_AUC_TRTR,0.9709325396825398
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,ROC_AUC_TSTR,0.7407297178130511
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Utility,ROC_AUC_Gap,0.2302028218694887
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Privacy,Mahalanobis_Distance,151.20313284348288
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Privacy,Mean_Distance,151.20313284348288
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Privacy,Median_Distance,138.28650858032944
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Privacy,NNDR,0.979480809337024
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Privacy,MIA_AUC,1.0
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Compute,training_time_seconds,69.54114146204665
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Compute,generation_time_seconds,0.0
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Compute,evaluation_time_seconds,6.787713655969128
Cancer,cancer,CopulaGAN,2024,42,1000,455,114,classification,69.54114146204665,0.0,6.787713655969128,76.3459458060097,Compute,total_time_seconds,76.3459458060097
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,Quality_Score,0.8403516811907786
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,KS_Complement,0.8521739926739927
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,Wasserstein_Distance,10.558340179198533
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Fidelity,MMD,0.0366128893592974
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_TRTR,0.958187134502924
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_TSTR,0.9634502923976604
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Accuracy_Gap,-0.0052631578947365
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_TRTR,0.9579899186677384
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_TSTR,0.9635721470792984
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,F1_Gap,-0.0055822284115599
Cancer,cancer,TVAE,42,42,1000,455,114,classification,12.577952857129276,0.0,6.379982613027096,18.968550226883963,Utility,Precision_TRTR,0.9585588829451
